name,category,price,buttons,details
elate-vape-apple-sour-cherry-e-liquid-30-50-100ml,E-Liquids,$25.00,"3mg/ml, 6mg/ml, 12mg/ml, 100ml","Previously known as Elate Vape Apple Sour Cherry E-liquid. | This flavour consists of fruity, fragrant and sweet-smelling green apples with sour cherries. Full of juicy crispness blended with a sour twist. If you enjoy sweet and sour, then revel in the taste of Elate Apple Sour Cherry E-Liquid.| Main flavour: Green Apple and Cherry| VG/PG Ratio: 70/30 | | | PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.|   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Elate Vape Apple Sour Cherry E-liquid. 

This flavour consists of fruity, fragrant and sweet-smelling green apples with sour cherries. Full of juicy crispness blended with a sour twist. If you enjoy sweet and sour, then revel in the taste of Elate Apple Sour Cherry E-Liquid.

Main flavour: Green Apple and Cherry

VG/PG Ratio: 70/30 

PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.


| Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product."
elate-vape-pear-mango-ice-cream-e-liquid-30-50-100ml,E-Liquids,$25.00,"3mg/ml, 6mg/ml, 12mg/ml, 100ml","Previously known as Elate Pear Mango Ice E-liquid.| Elate Pear Mango Ice Cream E-liquid a sparkling and sweet pear and wealthy golden mango blend addition with easy delicious ice cream. A mouth-watering crunch of pear, juicy ripened mangoes and sugary ice cream are fused together to formulate a classic all day vape.| Main flavour: Mango Ice Cream, Pear| VG/PG Ratio: 70/30 | | | PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.|   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Elate Pear Mango Ice E-liquid.

Elate Pear Mango Ice Cream E-liquid a sparkling and sweet pear and wealthy golden mango blend addition with easy delicious ice cream. A mouth-watering crunch of pear, juicy ripened mangoes and sugary ice cream are fused together to formulate a classic all day vape.

Main flavour: Mango Ice Cream, Pear

VG/PG Ratio: 70/30 

PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.


| Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product."
elate-vape-butterscotch-e-liquid-30-50-100ml,NA,$25.00,"3mg/ml, 6mg/ml, 12mg/ml, 100ml","Previously known as Elate Vape Butterscotch E-liquid.| Those wanting to satisfy their sweet tooth, this is the juice that will leave you feeling relished. This is a new Butterscotch recipe blended with chocolate, frozen yogurt and vanilla. This fusion will almost certainly please that sweet tooth.| Main flavour: Butterscotch, Chocolate, Vanilla| VG/PG Ratio: 70/30| | | PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.|   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Elate Vape Butterscotch E-liquid.

Those wanting to satisfy their sweet tooth, this is the juice that will leave you feeling relished. This is a new Butterscotch recipe blended with chocolate, frozen yogurt and vanilla. This fusion will almost certainly please that sweet tooth.

Main flavour: Butterscotch, Chocolate, Vanilla

VG/PG Ratio: 70/30

PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.


| Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product."
elate-vape-berry-mint-mix-e-liquid-30-50-100ml,NA,$25.00,"3mg/ml, 6mg/ml, 12mg/ml, 100ml","Previously known as Elate Vape Berry Mint Mix E-liquid.| Pure, fresh, and natural fruit juice radiates a solid aroma. The fruit fragrance is accommodated by a chilling mint – a lasting cool. Experience the endless fruity aroma with a cool end.| Main flavour: Berry, Mint| VG/PG Ratio: 70/30| | PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.|   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Elate Vape Berry Mint Mix E-liquid.

Pure, fresh, and natural fruit juice radiates a solid aroma. The fruit fragrance is accommodated by a chilling mint – a lasting cool. Experience the endless fruity aroma with a cool end.

Main flavour: Berry, Mint

VG/PG Ratio: 70/30

PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.


| Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product."
elate-vape-berry-apple-flat-peach-e-liquid-30-50-100ml,E-Liquids,$25.00,"3mg/ml, 6mg/ml, 12mg/ml, 100ml","Previously known as Elate Vape Berry Apple Flat Peach E-liquid.| A mixture of fresh red apples and berries with a peach base that makes your taste buds sweet. The acidity of the fruit and the sweetness in the taste buds combine to create a perfect fusion of fresh red apples and berries. After tasting this, you will surely fall in love with this unique and wonderful feeling.| Main flavour: Red Apple, Peach, Berry| VG/PG Ratio: 70/30 | | |   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Elate Vape Berry Apple Flat Peach E-liquid.

A mixture of fresh red apples and berries with a peach base that makes your taste buds sweet. The acidity of the fruit and the sweetness in the taste buds combine to create a perfect fusion of fresh red apples and berries. After tasting this, you will surely fall in love with this unique and wonderful feeling.

Main flavour: Red Apple, Peach, Berry

VG/PG Ratio: 70/30 | Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product."
elate-vape-bad-blood-e-liquid-30-50-100ml,E-Liquids,$25.00,"3mg/ml, 6mg/ml, 12mg/ml, 100ml","Previously known as Elate Vape Bad Blood E-liquid.| Fresh papaya and honeydew melon with an enticing blend of milk and sweet pomegranate come together to create an aromatic E-Liquid. This seductive taste will leave you feeling extraordinary.| Main flavour: Honeydew Melon, Milk, Pomegranates| VG/PG Ratio: 70/30 | | | PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.|   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Elate Vape Bad Blood E-liquid.

Fresh papaya and honeydew melon with an enticing blend of milk and sweet pomegranate come together to create an aromatic E-Liquid. This seductive taste will leave you feeling extraordinary.

Main flavour: Honeydew Melon, Milk, Pomegranates

VG/PG Ratio: 70/30 

PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.


| Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product."
elate-slow-blow-e-liquid-30-50-100ml,E-Liquids,$25.00,"3mg/ml, 6mg/ml, 12mg/ml, 100ml","Previously known as Elate Vape Elate Slow Blow (or Cherry Raspberry) E-Liquid| The flavors of ripe mangoes and sweet watermelon are expertly blended with luscious strawberries and refreshing green tea, creating the ultimate symphony of taste. Don't miss out, give this extraordinary fusion a try today!| Main flavour: Mango, Green Tea, Strawberry, Watermelon| VG/PG Ratio: 70/30| | | | | PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.|   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Elate Vape Elate Slow Blow (or Cherry Raspberry) E-Liquid

The flavors of ripe mangoes and sweet watermelon are expertly blended with luscious strawberries and refreshing green tea, creating the ultimate symphony of taste. Don't miss out, give this extraordinary fusion a try today!

Main flavour: Mango, Green Tea, Strawberry, Watermelon

VG/PG Ratio: 70/30

PLEASE NOTE: We are updating the name of our E-liquids to comply with the latest vaping regulations in New Zealand. Please note that while the packaging may appear different, the product ingredients remain unchanged.


| Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product."
berries-mix-sub-ohm-nicotine-salt-e-liquid,E-Liquids,$25.00,"5mg/ml, 10mg/ml","Previously known as Salty Puff World Berries Mix Sub-ohm Nicotine Salt E-liquid.| Flavour Profile: Mango, Pineapple, Cranberry, Blueberry| Size: 30ml| VG/PG: 70/30| Also available in Nicotine Salt| New Zealand's loved Salty Series is hitting the shelves with the new Sub-ohm Salt e-liquids. The same smooth nicotine hit and great taste but is made for sub-ohm vaping. | | Cola Ice - by Salty Puff World | Peach Ice - by Salty Puff World | Watermelon Ice - by Salty Puff World| Gummy Strawberry - by Salty Bubble World| Ice Berry Lemonade - by Salty Fizzy World| Ice Strawberry - by Frozen Salty World | Ice Strawberry Guava - by Frozen Salty World | Blueberry Raspberry - by Salty Kiwi World | Ice Grape - by Salty Kiwi World   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Salty Puff World Berries Mix Sub-ohm Nicotine Salt E-liquid.

Flavour Profile: Mango, Pineapple, Cranberry, Blueberry

Size: 30ml

VG/PG: 70/30

Also available in Nicotine Salt| New Zealand's loved Salty Series is hitting the shelves with the new Sub-ohm Salt e-liquids. The same smooth nicotine hit and great taste but is made for sub-ohm vaping. 

Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product.
 
Other Available Flavors:

Cola Ice - by Salty Puff World 

Peach Ice - by Salty Puff World 

Watermelon Ice - by Salty Puff World

Gummy Strawberry - by Salty Bubble World

Ice Berry Lemonade - by Salty Fizzy World

Ice Strawberry - by Frozen Salty World 

Ice Strawberry Guava - by Frozen Salty World 

Blueberry Raspberry - by Salty Kiwi World 

Ice Grape - by Salty Kiwi World "
cola-ice-sub-ohm-nicotine-salt-e-liquid,E-Liquids,$25.00,"5mg/ml, 10mg/ml","Previously known as Salty Puff World Cola Ice Sub-Ohm Nicotine Salt E-Liquid.| Flavour Profile: Cola, Ice| Size: 30ml| VG/PG: 70/30| Also available in Nicotine Salt| Also available in Freebase| New Zealand's loved Salty Series is hitting the shelves with the new Sub-ohm Salt e-liquids. The same smooth nicotine hit and great taste but is made for sub-ohm vaping. | | Berries Mix - by Salty Puff World | Peach Ice - by Salty Puff World | Watermelon Ice - by Salty Puff World| Gummy Strawberry - by Salty Bubble World| Ice Berry Lemonade - by Salty Fizzy World| Ice Strawberry - by Frozen Salty World | Ice Strawberry Guava - by Frozen Salty World | Blueberry Raspberry - by Salty Kiwi World | Ice Grape - by Salty Kiwi World   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Salty Puff World Cola Ice Sub-Ohm Nicotine Salt E-Liquid.

Flavour Profile: Cola, Ice

Size: 30ml

VG/PG: 70/30

Also available in Nicotine Salt

Also available in Freebase| New Zealand's loved Salty Series is hitting the shelves with the new Sub-ohm Salt e-liquids. The same smooth nicotine hit and great taste but is made for sub-ohm vaping. 

Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product.
 
Other Available Flavors:

Berries Mix - by Salty Puff World 

Peach Ice - by Salty Puff World 

Watermelon Ice - by Salty Puff World

Gummy Strawberry - by Salty Bubble World

Ice Berry Lemonade - by Salty Fizzy World

Ice Strawberry - by Frozen Salty World 

Ice Strawberry Guava - by Frozen Salty World 

Blueberry Raspberry - by Salty Kiwi World 

Ice Grape - by Salty Kiwi World "
ice-strawberry-sub-ohm-nicotine-salt-e-liquid,E-Liquids,$25.00,"5mg/ml, 10mg/ml","Previously known as Frozen World Ice Strawberry Sub-ohm Nicotine Salt E-Liquid.| Flavour Profile: Strawberry, Menthol| Size: 30ml| VG/PG: 70/30| Also available in Nicotine Salt| New Zealand's loved Salty Series is hitting the shelves with the new Sub-ohm Salt e-liquids. The same smooth nicotine hit and great taste but is made for sub-ohm vaping. | | Berries Mix - by Salty Puff World | Cola Ice - by Salty Puff World | Peach Ice - by Salty Puff World | Watermelon Ice - by Salty Puff World| Gummy Strawberry - by Salty Bubble World| Ice Berry Lemonade - by Salty Fizzy World| Ice Strawberry Guava - by Frozen Salty World | Blueberry Raspberry - by Salty Kiwi World | Ice Grape - by Salty Kiwi World   GET FREE SHIPPING ON ORDERS OVER $50.00.| Previously known as Frozen World Ice Strawberry Sub-ohm Nicotine Salt E-Liquid.

Flavour Profile: Strawberry, Menthol

Size: 30ml

VG/PG: 70/30

Also available in Nicotine Salt| New Zealand's loved Salty Series is hitting the shelves with the new Sub-ohm Salt e-liquids. The same smooth nicotine hit and great taste but is made for sub-ohm vaping. 

Caution: Keep out of reach of children or pets. Wash contact area thoroughly if skin, eye or mouth contact with the substance occurs. Do not swallow. If taken into the mouth, rinse mouth thoroughly. Contact 0800 POISON (0800 764 766) for advice if swallowed. Seek medical advice if you feel unwell after contact with the substance or use of this product.
 
Other Available Flavors:

Berries Mix - by Salty Puff World 

Cola Ice - by Salty Puff World 

Peach Ice - by Salty Puff World 

Watermelon Ice - by Salty Puff World

Gummy Strawberry - by Salty Bubble World

Ice Berry Lemonade - by Salty Fizzy World

Ice Strawberry Guava - by Frozen Salty World 

Blueberry Raspberry - by Salty Kiwi World 

Ice Grape - by Salty Kiwi World "
