name,category,nicotine_type,nicotine_min,nicotine_max,size_min,size_max,flavour,flavours_all_approved,flavours_count,disposable_keyword
ijoy-shogun-univ-kit,Vape Devices,,,,,,,,,FALSE
smok-nord-pod-kit,Vape Devices,,,,,,,,,FALSE
geekvape-aegis-boost-replacement-pod,Vape Devices,,,,,,,,,FALSE
ijoy-neptune-replacement-pods-3pks,Vape Devices,,,,,,,,,FALSE
smok-rpm40-replacement-pod,Vape Devices,,,,,,,,,FALSE
smok-novo-2-replacement-pod,Vape Devices,,,,,,,,,FALSE
smok-novo-replacement-pod,Vape Devices,,,,,,,,,FALSE
suorin-drop-replacement-pod-cartridges,Vape Devices,,,,,,,,,FALSE
smok-nord-replacement-pod,Vape Devices,,,,,,,,,FALSE
suorin-air-plus-replacement-pod,Vape Devices,,,,,,,,,FALSE
smok-infinix-2-replacement-pod,Vape Devices,,,,,,,,,FALSE
suorin-edge-replacement-pod,Vape Devices,,,,,,,,,FALSE
uwell-caliburn-replacement-pods,Vape Devices,,,,,,,,,FALSE
lost-vape-orion-quest-replacement-pod,Vape Devices,,,,,,,,,FALSE
elate-luna-tank,Vape Devices,,,,,,,,,FALSE
wotofo-profile-unity-rta-tank,Vape Devices,,,,,,,,,FALSE
ijoy-shogun-katana-sub-ohm-tank,Vape Devices,,,,,,,,,FALSE
smoka-pressie-dual-coil-tank,Vape Devices,,,,,,,,,FALSE
partyvape-flog-tank,Vape Devices,,,,,,,,,FALSE
rincoe-mechman-mesh-tank,Vape Devices,,,,,,,,,FALSE
geekvape-aegis-boost-replacement-coils,Vape Devices,,,,,,,,,FALSE
smok-rpm40-rba-replacement-coil,Vape Devices,,,,,,,,,FALSE
smok-rpm40-replacement-coils,Vape Devices,,,,,,,,,FALSE
smoka-fraliens-pre-made-coil,Vape Devices,,,,,,,,,FALSE
smoka-tri-core-fused-clapton-pre-made-coil,Vape Devices,,,,,,,,,FALSE
smoka-fused-clapton-228gaplus36ga-pre-made-coil,Vape Devices,,,,,,,,,FALSE
smoka-fused-clapton-226gaplus36ga-pre-made-coil,Vape Devices,,,,,,,,,FALSE
smoka-clapton-pre-made-coil,Vape Devices,,,,,,,,,FALSE
lawless-twisted-coil-ss316l-wire,Vape Devices,,,,,,,,,FALSE
lawless-framed-staple-pre-made-coil,Vape Devices,,,,,,,,,FALSE
lawless-alien-clapton-pre-made-coil,Vape Devices,,,,,,,,,FALSE
lawless-quad-core-fused-clapton-pre-made-coil,Vape Devices,,,,,,,,,FALSE
lawless-alpha-braid-pre-made-coil,Vape Devices,,,,,,,,,FALSE
vaporesso-euc-ccell-meshed-coil,Vape Devices,,,,,,,,,FALSE
dovpo-premade-ni80-coils-7-in-1,Vape Devices,,,,,,,,,FALSE
smok-tfv16-replacement-coil,Vape Devices,,,,,,,,,FALSE
