name,category,price,buttons,details
ijoy-shogun-univ-kit,Vape Devices,"$115.00
$89.99",,"IJOY SHOGUN UNIV Kit is a true masterpiece of craftsmanship forged to perfection! It features a compact-sized, dual 18650 batteries (Not included) mod that utilizes a stylish streamlined design highlighted by exquisite artistry and workmanship. It is made of solid and textured materials and features beautiful double-sided resin panels for a high-end appearance. The SHOGUN UNIV Mod can reach the beastly power of max 180W output and integrates multiple vape modes including POWER, POD, PMODE, and TEMP modes for a very capable and versatile platform. | The mod comes paired with the IJOY KATANA SUBOHM Tank perfectly. The KATANA SUBOHM Tank utilizes a Slide-n-Fill top cap design and a 5.5ml capacity bubble glass (4.0ml standard glass tube included). Compatible with KM1, DM-M2 and DM-M3 mesh wire coils to bring you outstanding flavor.| Quick Links| IJOY Shogun Replacement Coils| Specifications:| Includes: Screen: 0.96 inches
Battery: 2 x 18650 batteries (NOT included)
Power Range: 1-180W
Resistance Range: 0.05~3.0 ohm
Temperature Range: 300-600℉/149-316℃
Output Current: 0-45A
Material: Zinc Alloy & Resin
No overhang with 28mm tanks
Support firmware update with a USB cable| 1* IJOY SHOGUN UNIV Mod
1* IJOY KATANA SUB OHM Tank
1* KM1 Coil 0.15ohm (40-80W Pre-installed)
1* DM-M2 Coil 0.15ohm (40-80W ) 
1* Replacement Glass
1* Tool pack
1* USB Cable
1* Manual
1* Warranty Card GET FREE SHIPPING ON ORDERS OVER $50.00.| IJOY SHOGUN UNIV Kit is a true masterpiece of craftsmanship forged to perfection! It features a compact-sized, dual 18650 batteries (Not included) mod that utilizes a stylish streamlined design highlighted by exquisite artistry and workmanship. It is made of solid and textured materials and features beautiful double-sided resin panels for a high-end appearance. The SHOGUN UNIV Mod can reach the beastly power of max 180W output and integrates multiple vape modes including POWER, POD, PMODE, and TEMP modes for a very capable and versatile platform. | The mod comes paired with the IJOY KATANA SUBOHM Tank perfectly. The KATANA SUBOHM Tank utilizes a Slide-n-Fill top cap design and a 5.5ml capacity bubble glass (4.0ml standard glass tube included). Compatible with KM1, DM-M2 and DM-M3 mesh wire coils to bring you outstanding flavor.

Quick Links

IJOY Shogun Replacement Coils

Specifications:

Screen: 0.96 inches
Battery: 2 x 18650 batteries (NOT included)
Power Range: 1-180W
Resistance Range: 0.05~3.0 ohm
Temperature Range: 300-600℉/149-316℃
Output Current: 0-45A
Material: Zinc Alloy & Resin
No overhang with 28mm tanks
Support firmware update with a USB cable

Includes:

1* IJOY SHOGUN UNIV Mod
1* IJOY KATANA SUB OHM Tank
1* KM1 Coil 0.15ohm (40-80W Pre-installed)
1* DM-M2 Coil 0.15ohm (40-80W ) 
1* Replacement Glass
1* Tool pack
1* USB Cable
1* Manual
1* Warranty Card"
smok-nord-pod-kit,Vape Devices,$29.99,,"The SMOK NORD Ultra Portable Pod System draws inspirations from the elegant NOVO, integrating a long-lasting 1100mAh rechargeable battery and a refillable 3mL cartridge design capable of utilizing mesh and ceramic coils.| | Quick Links: | SMOK Nord Replacement Coils| SMOK Nord Replacement Pod| SMOK NORD Ultra Portable System Features:| Includes: Dimensions - 94mm by 30mm by 18.8mm
Weight - 80g
Integrated 1100mAh Rechargeable Battery
Wattage Output Range: 10-15W
Voltage Input Range: 3.3-4.2V
Charging Current: 370mA
Direct Voltage Based Output
One-Button Firing Mechanism
LED Light Battery Indicator
Cobra Plated Panels - Exquisite Design
3mL Juice Capacity - Fillable Pod System
Replaceable Coil Design
0.6ohm Nord Mesh Coils - Optimized for Sub-Ohm Experience
1.4ohm Nord Regular Coils - Optimized for MTL Experience
1.0ohm Nord Ceramic Coils - Sold Separately
Air-Driven Pod System
Ergonomically Curved Mouthpiece
8 Seconds Cut-Off Protection
Short-Circuit Protection
Low Voltage Warning
MicroUSB Port Charging System
Proprietary Magnetized Connection| 1 x NORD Pod System
1 x 0.6ohm Nord Mesh Coil
1 x 1.4ohm Nord Regular Coil
1 x MicroUSB Cable
1 x Instructional Manual GET FREE SHIPPING ON ORDERS OVER $50.00.| The SMOK NORD Ultra Portable Pod System draws inspirations from the elegant NOVO, integrating a long-lasting 1100mAh rechargeable battery and a refillable 3mL cartridge design capable of utilizing mesh and ceramic coils.

Quick Links: 

SMOK Nord Replacement Coils

SMOK Nord Replacement Pod

SMOK NORD Ultra Portable System Features:

Dimensions - 94mm by 30mm by 18.8mm
Weight - 80g
Integrated 1100mAh Rechargeable Battery
Wattage Output Range: 10-15W
Voltage Input Range: 3.3-4.2V
Charging Current: 370mA
Direct Voltage Based Output
One-Button Firing Mechanism
LED Light Battery Indicator
Cobra Plated Panels - Exquisite Design
3mL Juice Capacity - Fillable Pod System
Replaceable Coil Design
0.6ohm Nord Mesh Coils - Optimized for Sub-Ohm Experience
1.4ohm Nord Regular Coils - Optimized for MTL Experience
1.0ohm Nord Ceramic Coils - Sold Separately
Air-Driven Pod System
Ergonomically Curved Mouthpiece
8 Seconds Cut-Off Protection
Short-Circuit Protection
Low Voltage Warning
MicroUSB Port Charging System
Proprietary Magnetized Connection

Includes:

1 x NORD Pod System
1 x 0.6ohm Nord Mesh Coil
1 x 1.4ohm Nord Regular Coil
1 x MicroUSB Cable
1 x Instructional Manual| "
geekvape-aegis-boost-replacement-pod,Vape Devices,$19.99,,"Replace your old pod with the new Geek Vape AEGIS Boost Replacement Pods, incorporating a 3.7mL refillable pod capacity with replaceable coil, featuring a silicone stoppered top fill system, and can utilize the 0.6ohm KA1 Mesh Coil to create satisfying clouds of delectable flavor.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.| Quick links:| Geekvape Aegis Boost Pod Kit| Specifications: 3.7mL Refillable Pod - Replaceable Coil
PTGC Food-Grade Plastic Pod
Top Fill System - Silicone Stoppered
Rotating Airflow Control Dial
Geek Vape AEGIS BOOST Coil Series
0.6ohm KA1 Mesh Coil
Plug 'n' Play Coil Installation
Press-To-Fit Pod Connection GET FREE SHIPPING ON ORDERS OVER $50.00.| Replace your old pod with the new Geek Vape AEGIS Boost Replacement Pods, incorporating a 3.7mL refillable pod capacity with replaceable coil, featuring a silicone stoppered top fill system, and can utilize the 0.6ohm KA1 Mesh Coil to create satisfying clouds of delectable flavor.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.

Quick links:

Geekvape Aegis Boost Pod Kit

Specifications:

3.7mL Refillable Pod - Replaceable Coil
PTGC Food-Grade Plastic Pod
Top Fill System - Silicone Stoppered
Rotating Airflow Control Dial
Geek Vape AEGIS BOOST Coil Series
0.6ohm KA1 Mesh Coil
Plug 'n' Play Coil Installation
Press-To-Fit Pod Connection
Includes: 
1 x Geekvape Aegis Boost Replacement Pod"
ijoy-neptune-replacement-pods-3pks,Vape Devices,$18.00,,"The iJoy NEPTUNE Replacement Pods are a set of plastic food grade pods, crafted for the iJoy NEPTUNE Pod System, filling up to 1.8mL of your favorite nicotine salt or eJuice, and featuring a top fill system, hiding two fill ports behind a mouthpiece, and implementing an integrated 1.2ohm coil.| Come in a pack of 3| NOTE: This product is compatible with both Neptune Pod Kit and Neptune X Pod Kit.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.| The iJoy NEPTUNE Replacement Pods are a set of plastic food grade pods, crafted for the iJoy NEPTUNE Pod System, filling up to 1.8mL of your favorite nicotine salt or eJuice, featuring a top fill system, hiding two fill ports behind a mouthpiece.| Quick Links:
IJOY Neptune Kit| Specifications: Refillable Pod - Replaceable Cartridges
1.8mL Refillable Pod Capacity
Top Fill System - Mouthpiece Cover
Integrated Coil Resistance: 1.2ohm
Magnetic Pod Connection GET FREE SHIPPING ON ORDERS OVER $50.00.| The iJoy NEPTUNE Replacement Pods are a set of plastic food grade pods, crafted for the iJoy NEPTUNE Pod System, filling up to 1.8mL of your favorite nicotine salt or eJuice, and featuring a top fill system, hiding two fill ports behind a mouthpiece, and implementing an integrated 1.2ohm coil.

Come in a pack of 3

NOTE: This product is compatible with both Neptune Pod Kit and Neptune X Pod Kit.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.

The iJoy NEPTUNE Replacement Pods are a set of plastic food grade pods, crafted for the iJoy NEPTUNE Pod System, filling up to 1.8mL of your favorite nicotine salt or eJuice, featuring a top fill system, hiding two fill ports behind a mouthpiece.

Quick Links:
IJOY Neptune Kit

Specifications:

Refillable Pod - Replaceable Cartridges
1.8mL Refillable Pod Capacity
Top Fill System - Mouthpiece Cover
Integrated Coil Resistance: 1.2ohm
Magnetic Pod Connection"
smok-rpm40-replacement-pod,Vape Devices,$10.00,"RPM Nord Pod (Without Coil), RPM Standard Pod (Without Coil)","The Smok RPM40 Replacement Pods (Coil is not included). The Standard Pod has 4.3ml e-juice capacity the Smok Pods with duck-billed wider mouthpiece allows more air inhalation, can fully enjoy the vaping process and huge vapor. the New Smok Pods with side e-juice refill, easy to refill your favourite ejuice, with the rubber plug to prevent leakage.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.| Quick Links:| Smok RPM40 Replacement Coil| Specifications: Type: Standard RPM Pod(4.3ML)
Duck-Billed Mouthpiece
The Coils Not Included (Sold Separately)
Coils:
Nord Regular DC Coil 0.6ohm, Best: 20W
Nord Mesh-MTL Coil 0.8ohm, Best: 16W
Nord Regular Coil 1.4ohm
Nord Mesh Coil 0.6ohm
Convenient Side E-Juice Refill With Silicone Stopper GET FREE SHIPPING ON ORDERS OVER $50.00.| The Smok RPM40 Replacement Pods (Coil is not included). The Standard Pod has 4.3ml e-juice capacity the Smok Pods with duck-billed wider mouthpiece allows more air inhalation, can fully enjoy the vaping process and huge vapor. the New Smok Pods with side e-juice refill, easy to refill your favourite ejuice, with the rubber plug to prevent leakage.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.

Quick Links:

Smok RPM40 Replacement Coil

Specifications:

Type: Standard RPM Pod(4.3ML)
Duck-Billed Mouthpiece
The Coils Not Included (Sold Separately)
Coils:
Nord Regular DC Coil 0.6ohm, Best: 20W
Nord Mesh-MTL Coil 0.8ohm, Best: 16W
Nord Regular Coil 1.4ohm
Nord Mesh Coil 0.6ohm
Convenient Side E-Juice Refill With Silicone Stopper"
smok-novo-2-replacement-pod,Vape Devices,$19.99,"1.4 ohm DC MTL - Novo 2, 1.0 ohm Mesh - Novo 2","The SMOK Novo 2 Pod is designed for Novo 2 Kit. It comes with 2ml capacity. Comes in a pack of 3.| Compatible with Novo 2 and Novo Pod Kit| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED| The SMOK Novo 2 Pod is designed for Novo 2 Kit. It comes with 2ml capacity and side-refilled design. And it provides DC MTL 1.4ohm edition to meet your need. The DC MTL 1.4ohm edition is better in making the excellent flavour.| Specifications:| Novo2 0.8ohm Mesh Pod:| Novo 1.2ohm Pod (Compatible to Novo 2 Pod Kit):| Novo2 1.0ohm Mesh Pod:| Novo2 1.4Ohm DC Pod:| Novo2 1.4Ohm quartz Pod:| Includes:  Best for: Mesh Pods are Best for better flavour – Stronger hit while vaping Nic salt 
Detailed: 2 ml Refillable POD, Fast Heating process tends huge vapor production, the 0.8-ohm Novo Mesh Coil is ideal for vapers looking for a dense and full drag that produces massive clouds. They are perfect for direct-to-lung vapers that prefer traditional nicotine (non-salt) e-juices. However, for stronger nicotine hit can use Nic salts
Wire Material: Mesh Resistance
Wicking Material: Organic Cotton| Best for: Recommended Nic Salt only, Ex-smokers love it for its standard MTL experience 
Detailed: 2ml POD, Designed for Air driven Pod system
Wire Material: Mesh Resistance
Wicking Material: Organic Cotton| Best for: Recommended for Nic Salt, being mesh will give you thick clouds
Detailed: 2ml Mesh Pod designed for large heating area experiences good flavor , the 1.0 ohm Novo 2 Mesh Coil is also perfect for direct-to-lung vapers and features SMOK’s all-new U-shaped airflow channels to help provide smoother drags and prevent spit back.
Wire Material: Mesh Resistance
Wicking Material: Organic Cotton| Best: Smoother Hit, Pure Flavor, - Nic Salt - MTL only
Detailed: The 1.4-ohm Novo 2 DC MTL Coil is Best for mouth-to-lung vapers and users who prefer an experience more similar to a traditional smoking. These pods also feature SMOK’s U-shaped airflow channels.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton| Best: Intense vapor- Nic Salt - MTL only
Detailed: Novo 2 Quartz Pods provide a quicker heat up time than the other Novo pod coils and provides a warm hit and intense vapor production.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton| 3 x Smok Novo 2 Replacement Pods GET FREE SHIPPING ON ORDERS OVER $50.00.| The SMOK Novo 2 Pod is designed for Novo 2 Kit. It comes with 2ml capacity. Comes in a pack of 3.

Compatible with Novo 2 and Novo Pod Kit| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED

The SMOK Novo 2 Pod is designed for Novo 2 Kit. It comes with 2ml capacity and side-refilled design. And it provides DC MTL 1.4ohm edition to meet your need. The DC MTL 1.4ohm edition is better in making the excellent flavour.

Specifications:

Novo2 0.8ohm Mesh Pod:

Best for: Mesh Pods are Best for better flavour – Stronger hit while vaping Nic salt 
Detailed: 2 ml Refillable POD, Fast Heating process tends huge vapor production, the 0.8-ohm Novo Mesh Coil is ideal for vapers looking for a dense and full drag that produces massive clouds. They are perfect for direct-to-lung vapers that prefer traditional nicotine (non-salt) e-juices. However, for stronger nicotine hit can use Nic salts
Wire Material: Mesh Resistance
Wicking Material: Organic Cotton

Novo 1.2ohm Pod (Compatible to Novo 2 Pod Kit):

Best for: Recommended Nic Salt only, Ex-smokers love it for its standard MTL experience 
Detailed: 2ml POD, Designed for Air driven Pod system
Wire Material: Mesh Resistance
Wicking Material: Organic Cotton

Novo2 1.0ohm Mesh Pod:

Best for: Recommended for Nic Salt, being mesh will give you thick clouds
Detailed: 2ml Mesh Pod designed for large heating area experiences good flavor , the 1.0 ohm Novo 2 Mesh Coil is also perfect for direct-to-lung vapers and features SMOK’s all-new U-shaped airflow channels to help provide smoother drags and prevent spit back.
Wire Material: Mesh Resistance
Wicking Material: Organic Cotton

Novo2 1.4Ohm DC Pod:

Best: Smoother Hit, Pure Flavor, - Nic Salt - MTL only
Detailed: The 1.4-ohm Novo 2 DC MTL Coil is Best for mouth-to-lung vapers and users who prefer an experience more similar to a traditional smoking. These pods also feature SMOK’s U-shaped airflow channels.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton

Novo2 1.4Ohm quartz Pod:

Best: Intense vapor- Nic Salt - MTL only
Detailed: Novo 2 Quartz Pods provide a quicker heat up time than the other Novo pod coils and provides a warm hit and intense vapor production.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton

Includes: 

3 x Smok Novo 2 Replacement Pods"
smok-novo-replacement-pod,Vape Devices,$19.99,"1.4 ohm DC MTL - Novo 2, 1.4 ohm Ceramic - Novo, 0.6 ohm Mesh 2ml, 0.6 ohm Mesh 3ml","The SMOK NOVO Replacement Pod Cartridges features an ergonomically design mouthpiece with a 2mL refillable juice capacity, cleverly designed with simple side-fill to accommodate a wide range flavorful nic salt e-juice. Comes in a pack of 3.| Note: Replacement pods with a 0.6ohm Mesh capacity of 3ML has feature side-filling.| Compatible with Novo 2 and Novo Pod Kit| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.| The SMOK NOVO Replacement Pod Cartridges features an ergonomically design mouthpiece with a 2mL refillable juice capacity, cleverly designed with simple side-fill to accommodate a wide range of flavorful NicSalt juice. The atomizer core is integrated into the pod, utilizing a special cotton that is enclosed to provide optimal vapor production and flavor enhancement for the SMOK NOVO Pod System.| Specifications:| Novo2 1.4Ohm DC Pod - Compatible to NOVO:| Novo2 1.4Ohm quartz Pod- Compatible to NOVO:| Novo 0.8Ohm Mesh:| Novo 1.4Ohm Ceramic:| Novo 1.2ohm Pod (Compatible to NOVO2):| Includes:|  2mL Juice Capacity
Horizontal Coil Atomizer
Organic Cotton
Proprietary Magnetized Gold-Plated Connection| Best: Smoother Hit, Pure Flavor, - Nic Salt - MTL only
Detailed: 2ml POD, Novo 2 DC MTL Coil is Best for mouth-to-lung vapers and users who prefer an experience more similar to a traditional smoking. These pods also feature SMOK’s U-shaped airflow channels.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton| Best: Intense vapor - Nic Salt - MTL only
Detailed: 2ml POD, provide a quicker heat up time than the other Novo pod coils and provides a warm hit and intense vapor production.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton| Best for: Being mesh will give you thick clouds - Recommended for free base however using of Nic salts gives you stronger HIT
Detailed: 2ml POD, The 0.8Ω mesh coil pods have a slightly loser mouth to lung draw and generate a larger cloud, and are most suitable for use with traditional freebase nicotine e-juices or lower concentration.
Wire Material: Mesh Resistance
Wicking Material: Organic Cotton| Best for: Pure Flavor and longer life span 
Detailed: 2ml POD, and 1.4ohm Ceramic Coil, which brings you pure flavor and has long lifespan.
Wire Material: Ceramic Resistance
Wicking Material: Organic Cotton| Best for: Recommended Nic Salt only, Ex-smokers love it for its standard MTL experience 
Detailed: 2ml POD, Designed for Air driven Pod system, have a tight mouth to lung draw and generate a small to medium size vapor cloud, making them suitable for use with nicotine salt e-juices in high concentrations.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton| 3 x Replacement pods GET FREE SHIPPING ON ORDERS OVER $50.00.| The SMOK NOVO Replacement Pod Cartridges features an ergonomically design mouthpiece with a 2mL refillable juice capacity, cleverly designed with simple side-fill to accommodate a wide range flavorful nic salt e-juice. Comes in a pack of 3.

Note: Replacement pods with a 0.6ohm Mesh capacity of 3ML has feature side-filling.

Compatible with Novo 2 and Novo Pod Kit| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.

The SMOK NOVO Replacement Pod Cartridges features an ergonomically design mouthpiece with a 2mL refillable juice capacity, cleverly designed with simple side-fill to accommodate a wide range of flavorful NicSalt juice. The atomizer core is integrated into the pod, utilizing a special cotton that is enclosed to provide optimal vapor production and flavor enhancement for the SMOK NOVO Pod System.

Specifications:

2mL Juice Capacity
Horizontal Coil Atomizer
Organic Cotton
Proprietary Magnetized Gold-Plated Connection

Novo2 1.4Ohm DC Pod - Compatible to NOVO:

Best: Smoother Hit, Pure Flavor, - Nic Salt - MTL only
Detailed: 2ml POD, Novo 2 DC MTL Coil is Best for mouth-to-lung vapers and users who prefer an experience more similar to a traditional smoking. These pods also feature SMOK’s U-shaped airflow channels.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton

Novo2 1.4Ohm quartz Pod- Compatible to NOVO:

Best: Intense vapor - Nic Salt - MTL only
Detailed: 2ml POD, provide a quicker heat up time than the other Novo pod coils and provides a warm hit and intense vapor production.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton

Novo 0.8Ohm Mesh:

Best for: Being mesh will give you thick clouds - Recommended for free base however using of Nic salts gives you stronger HIT
Detailed: 2ml POD, The 0.8Ω mesh coil pods have a slightly loser mouth to lung draw and generate a larger cloud, and are most suitable for use with traditional freebase nicotine e-juices or lower concentration.
Wire Material: Mesh Resistance
Wicking Material: Organic Cotton

Novo 1.4Ohm Ceramic:

Best for: Pure Flavor and longer life span 
Detailed: 2ml POD, and 1.4ohm Ceramic Coil, which brings you pure flavor and has long lifespan.
Wire Material: Ceramic Resistance
Wicking Material: Organic Cotton

Novo 1.2ohm Pod (Compatible to NOVO2):

Best for: Recommended Nic Salt only, Ex-smokers love it for its standard MTL experience 
Detailed: 2ml POD, Designed for Air driven Pod system, have a tight mouth to lung draw and generate a small to medium size vapor cloud, making them suitable for use with nicotine salt e-juices in high concentrations.
Wire Material: Kanthal Resistance
Wicking Material: Organic Cotton

Includes:

3 x Replacement pods"
suorin-drop-replacement-pod-cartridges,Vape Devices,$8.00,,"Specifically designed for the Suorin Drop Pod System, it makes it easier than ever to get straight to the flavor. With a 2ml e-juice capacity and compatibility with both nic salt and regular e-liquid flavours, these Drop Replacement Cartridges have a Gold-plated connection to the pod mod and also serve as the drip tip!| Designed for use exclusively in the Suorin Air, with 2ml capacity and a resistance rating of 1.2 ohm. The SuorinAir replacement cartridges utilize a magnetic connection system for easy removal and replacement.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.| Quick Links:| Suorin Drop Ultra-Portable Pod Kit| Suorin Drop Replacement Cartridge Features:  GET FREE SHIPPING ON ORDERS OVER $50.00.| Specifically designed for the Suorin Drop Pod System, it makes it easier than ever to get straight to the flavor. With a 2ml e-juice capacity and compatibility with both nic salt and regular e-liquid flavours, these Drop Replacement Cartridges have a Gold-plated connection to the pod mod and also serve as the drip tip!

Designed for use exclusively in the Suorin Air, with 2ml capacity and a resistance rating of 1.2 ohm. The SuorinAir replacement cartridges utilize a magnetic connection system for easy removal and replacement.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.

The Suorin Pod Drop Replacement Cartridges delivers a sleek refillable pod element with 2mL juice capacity and a resistance rating of about 1.3ohm to 1.4ohm. The atomizer core is integrated into the pod, utilizing a special cotton that is enclosed to provide optimal MTL vaping experience for the Suorin Drop System. Comes in a pack of one cartridge.

Quick Links:

Suorin Drop Ultra-Portable Pod Kit

Suorin Drop Replacement Cartridge Features:

Fillable Suorin Drop Pod System
2mL Juice Capacity
1.3ohm ~ 1.4ohm Resistance
Horizontal Coil Atomizer
Organic Cotton
Gold-Plated Connection"
smok-nord-replacement-pod,Vape Devices,$15.00,"With Coil, Without Coil","The SMOK Nord Replacement Pod features a nifty design mouthpiece with a 3mL refillable juice capacity, cleverly built with a simple filling method to accommodate a wide range of flavorful nicotine salt e-liquid.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.| Quick Links:| SMOK Nord POD Kit| SMOK Nord Replacement Coils| SMOK NORD Refillable Pod Cartridge Features:| With Coil| Without Coil| Specifications Comes with 0.6ohm mesh coil and 1.4ohm regular coil
1 x Nord replacement pod| 3 x Nord replacement empty pods| Fillable Pod System - Replaceable Cartridge
3mL Juice Capacity
Organic Cotton
Proprietary Magnetized Gold-Plated Connection GET FREE SHIPPING ON ORDERS OVER $50.00.| The SMOK Nord Replacement Pod features a nifty design mouthpiece with a 3mL refillable juice capacity, cleverly built with a simple filling method to accommodate a wide range of flavorful nicotine salt e-liquid.| Note: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.

Quick Links:

SMOK Nord POD Kit

SMOK Nord Replacement Coils

SMOK NORD Refillable Pod Cartridge Features:

With Coil

Comes with 0.6ohm mesh coil and 1.4ohm regular coil
1 x Nord replacement pod

Without Coil

3 x Nord replacement empty pods

Specifications

Fillable Pod System - Replaceable Cartridge
3mL Juice Capacity
Organic Cotton
Proprietary Magnetized Gold-Plated Connection"
suorin-air-plus-replacement-pod,Vape Devices,$7.99,"0.7 ohm, 1.0 ohm","The Suorin AIR PLUS Replacement Pods are a set of 3.2mL refillable pods featuring a 0.7ohm integrated coil option, oil baffle design to prevent leaks, and possesses a bottom fill system that is silicone stoppered.| NOTE: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.| The Suorin AIR PLUS Replacement Pods are a set of 3.2mL refillable pods featuring a 0.7ohm or 0.8ohm integrated coil option, oil baffle design to prevent leaks, and possesses a bottom fill system that is silicone stoppered.| Specifications: 0.7ohm Atomizer - Recommended for Free-Based E-Liquid – Using Nic salts results to stronger hit 
1.0ohm Atomizer - Recommended for Nicotine Salts E-Liquid
Refillable Pod 
3.2mL Juice Capacity
Bottom Fill System - Silicone Stopper
Oil Baffle Design
Horizontal coil Atomiser
Gold-Plated Magnetic Connection
Not Compatible with Suorin Air Pods
Detailed: The Replacement cartridges for Suorin Air PLUS can contain an astounding 3.2mL of either salt nic or freebase e-liquid, depending on which coil you choose - 0.7ohm or 0.1ohm. The Suorin Air Plus pod is attached to the battery casing through a magnetic connection alongside the gold-plated proprietary connection. The mouthpiece is discreetly placed on top of the cartridge to maintain stealth and simplicity. you can use Nicotine salts on 0.7ohm 
Wire Material: Kanthal Resistance 
Wicking Material: Organic Cotton  GET FREE SHIPPING ON ORDERS OVER $50.00.| The Suorin AIR PLUS Replacement Pods are a set of 3.2mL refillable pods featuring a 0.7ohm integrated coil option, oil baffle design to prevent leaks, and possesses a bottom fill system that is silicone stoppered.| NOTE: THIS PRODUCT IS NOT COVERED UNDER WARRANTY AND UN-SEALED COILS/PODS WILL NOT BE EXCHANGED.

The Suorin AIR PLUS Replacement Pods are a set of 3.2mL refillable pods featuring a 0.7ohm or 0.8ohm integrated coil option, oil baffle design to prevent leaks, and possesses a bottom fill system that is silicone stoppered.

Specifications:

0.7ohm Atomizer - Recommended for Free-Based E-Liquid – Using Nic salts results to stronger hit 
1.0ohm Atomizer - Recommended for Nicotine Salts E-Liquid
Refillable Pod 
3.2mL Juice Capacity
Bottom Fill System - Silicone Stopper
Oil Baffle Design
Horizontal coil Atomiser
Gold-Plated Magnetic Connection
Not Compatible with Suorin Air Pods
Detailed: The Replacement cartridges for Suorin Air PLUS can contain an astounding 3.2mL of either salt nic or freebase e-liquid, depending on which coil you choose - 0.7ohm or 0.1ohm. The Suorin Air Plus pod is attached to the battery casing through a magnetic connection alongside the gold-plated proprietary connection. The mouthpiece is discreetly placed on top of the cartridge to maintain stealth and simplicity. you can use Nicotine salts on 0.7ohm 
Wire Material: Kanthal Resistance 
Wicking Material: Organic Cotton 
Includes:
1 x Suorin Air Plus Replacement Pod"
